texto,label_maltrato,label_violacion_del_deber_de_cuidado,label_situaciones_de_riesgo,label_abuso_sexual,label_negligencia
"   La persona recurrente comunica a través del 147  Fono Ayuda  que se encuentra en conocimiento de situaciones de vulneración hacia un grupo de NNA la persona solicita confidencialidad e indica cuanto sigue:  Que la Sra. SUJETO se ha separado de su esposo SUJETO que los Señores SUJETO y SUJETO  se han separado hace aproximadamente 3 años.   Que estos tiene dos hijos en común  NNA (10) y NNA (17)    Que hace aproximadamente 4 años atrás una BEBE fue traída por la Sra. SUJETO  esta ultima madre del bebe.  Que el bebe seria sobrina materna  del Sr. SUJETO Que la Sra. SUJETO entrego a su hermano y a su esposa para que cuiden de su hija  mas conocida como SUJETO hoy día esta NNA tiene entre 4 a 5 años    Que a pesar del que el tío materno se separo de su esposa la sra. SUJETO  la NNA permanece en situación irregular en la familia.    Que la Sra. SUJETO no le tiene paciencia a la NNA le pega por cualquier cosa recibe maltrato verbal. y hay marcas de violencia física por sus brazos y piernas.  esta SUJETO maltrata psicológicamente y física a la NNA.   Que la Sra. SUJETO  se acompaño recientemente hace (7 meses)que la Sra. SUJETO se fue a vivir con su nueva  pareja y viene en la casa 1 o 2 veces a la semana.   Que la NNA  como tambien los hijos de la Sra. SUJETO (NNA- NNA)   Que el Día de Hoy la NNA Apareció con moretones en el rostro     
",1,0,0,0,0
" Refiere la recurrente que el NNA de 4 años se queda bajo sus cuidados de vez en cuando anteriormente la madre le pagaba 500 mil gs por cuidar de su hijo desde hace 7 meses que no le paga refiere que de igual forma ella cuida del niño porque la madre del niño la Sra SUJETO de 22 años aprox. quien no logra mantener su trabajo trabajaba como cajera en varios super mercados no tiene una relación de pareja estable  reporta que la madre del NNA ""Es bien cabezudita"" ""sale mucho macanea"" ""le deja a su NNA con cualquier persona"" ""o le deja encerrado"" ""La madre no asienta cabeza"" ""farrea de lunes a lunes"" ""en ocasiones le lleva a su NNA y lo retorna en horas de la madrugada transportándolo en moto"" ""No quiere llevarlo al control medico"" ""Con mucha insistencia le lleva al medico"" ""el NNA sobrevive gracias al cuidado de la recurrente"" ""Si tiene suerte se alimenta el NNA estando con la madre"" ""No es responsable por su NNA"" ""Maltrata verbal y físicamente a su NNA"" la recurrente revisa todo al NNA cada vez que le lleva para cuidarlo.  La recurrente refiere que está enferma desde hace un año (debe operarse)  igual se ofrece a cuidar del niño no tienen familiares el día de ayer por ejemplo la madre le dejo a su niño a la tardecita y hasta ahora no retorna (refiere que seguramente estará durmiendo) refiere que mucho converso con la madre para que cuide mejor a su niño sin embargo no demuestra  interés en su NNA.  Para tranquilidad de la recurrente le da todo de comer primero al NNA antes de entregar el NNA a su madre. el padre del NNA ausente no lo registro como hijo.   El NNA vive con la madre en una vivienda de alquiler a media cuadra de la recurrente. Dueño del alquiler donde vive el NNA es el Sr SUJETO        
",1,1,0,0,0
" La señora SUJETO con número de celular: 0991000000 manifestó ser madre de la NNA (15) quién esta mañana muy temprano le confesó a su madre que habría sido abusada sexualmente hace 6 años atrás por su primo SUJETO.  Refirió que a las 8 am de esta mañana ella acudió a la Comisaría 23 Zeballos para realizar la denuncia en dicha Comisaría le dijeron que se comunicará a la fiscalía penal de Mariano Roque Alonso cabe registrar que la recurrente estaba muy alterada lloraba a ratos no se entendía muy bien lo que decía pero refirió que ya tuvo mala experiencia con la fiscalía y también con la CODENI ya que hace 4 años atrás ella había denunciado a su pareja: Sr. SUJETO por violencia doméstica; ""yo denuncié y ellos solo se burlaron de mi ellos le creyeron más a mi marido y a su familia que dijeron que yo estoy loca y por eso me sentí muy maltratada en ese entonces por eso ya te digo luego que ahora no me voy a ir a la CODENI y mi hija necesita asistencia psicológica quiero saber a dónde puedo ir para eso"" refirió. Aclaró que luego volvió a vivir con su pareja y nació el niño que ahora tiene 2 años y que la situación de violencia doméstica es la misma.   La señora estaba conmocionada y contaba situaciones de manera mezclada concretamente se entendió que ella viene siendo víctima de violencia doméstica por parte de su pareja y sus hijos: NNA (15) NN (12) NN (6) NN (2) y la que ahora ya es mayor de edad SUJETO de 19 años son testigos de Violencia Doméstica y a la vez Víctimas de Violencia Psicológica por parte del padre según la recurrente el padre le dijo a NNA (15): ""porqué vos contás eso ahora si sabés que tu mamá va a hacer quilombo eso ya pasó hace tiempo no hacía falta que cuentes"".  Refirió también que el hermano de su pareja: SUJETO es el padre de quién abusó de la adolescente y que ese tío también maltrata psicológicamente a los niños les dice: ""nde rova tembó marica"" etc.   Por último refirió que NNA (15) tiene muchas ausencias en el colegio porque le viene su período menstrual cada 15 días y que es abundante y doloroso es así desde los 12 años de edad. Le preguntó si consultó con el médico y refirió que nunca pudo llevarla a consulta porque la adolescente se negaba a que ""le revisen"" la madre nunca entendió esa actitud y ahora sabe que había sido era debido al abuso.  En vista de que la recurrente estaba muy conmocionada se le orientó acuda al Hospital de Clínicas servicio de urgencias en contención psicológica y que luego lleve a sus hijos. Se le indicó también que desde el Servicio se comunicará a la fiscalía penal la situación de abuso y la situación de violencia doméstica.        SEGUIMIENTO 22-07-2020  Se comunicó la Sra. SUJETO desde el número 0976-000000 la misma refiere que tiene un relacionamiento muy mala con su hija NNA (16); que la agrede verbalmente y que no respeta ninguna disposición de la madre. Refiere que el padre de los niños habría perdido la Patria Potestad pero que la adolescente de igual forma tiene relacionamiento con el padre ""se alía con el padre para joderme la vida"" que la adolescente hace su voluntad y que sale y entra de la casa sin poder la madre controlar esa actitud.  A la Sra. SUJETO se la escucha bastante alterada se refiere a su hija como ""pendeja"" y que quisiera echarla de la casa como perra y que no le importará ninguna denuncia.  La Sra. SUJETO sería víctima de Violencia Doméstica que el padre de los niños le habría roto los dedos en cuya ocasión habría realizado denuncia que el mismo ya no reside en la casa pero que eventualmente iría para insultarla llamarla loca y puta.  Al referir a la Sra. sobre los procedimientos que debe realizar la misma refiere que ninguna instancia la habría ayudado. Que en la Defensoría la Abg. SUJETO le habría bloqueado el número que le habría referido que ya realizo lo que correspondía en relación a la adolescente. Que la Psicología de la CODENI de Mariano Roque Alonso también no habrían ayudado a su hija y que le diría que tendría una madre loca. Que la Defensora de la Especializada de la 5777 de Luque también no la habría ayudado también de Niñez en lo Civil ya que le solicitaron dos testigos que ella no puede presentar.  Qué Psicóloga del Hospital de Mariano le habría dicho que solo haría consulta que debía buscar otro lado terapia. Refiere que todos los parientes del padre estaría en su contra que no tendría ningún pariente que la ayude.  A todas las opciones presentadas refiere que ya acudió y que no le ayudaron refirió que estuvo en el Albergue de Mujer en donde también no la habrían podido ayudar.   En varias oportunidades refirió que querría morir que sería lo mejor pero que no tendría valor suficiente para atentar contra su vida.  Se le insiste que consulte con profesional psiquiatra y psicólogo en  el Hospital de Clínicas en donde la van a tratar muy bien en último momento refiere que seguirá buscando ayuda.                                        
",1,0,0,1,0
" La recurrente solicitó la confidencialidad de sus datos refiere que la NNA (10) aprox vive con su madre y su padrastro en un inquilinato desconoce nombre de los mismos  la niña tiene discapacidad del habla y de la conducta pareciese ser autista refiere que la niña es maltratada por su padrastro y en ocasiones también por la madre describe al padrastro como una persona muy agresiva castiga a la niña haciéndola arrodillar seguidamente la niña llora sin parar mientras dura el castigo refiere también la recurrente que se ve a la niña deambular  por las calles y descalza todo el tiempo la madre cierra de ella el portón de la casa y al quedarse afuera la niña llora y grita diciendo que tiene hambre. Cuando la niña es enviada a la despensa solo dice dos palabras y realiza sus necesidades físicas en la calle. Refiere que la vecina que vive pegada al domicilio de la niña escucha como  la castigan a golpes dentro del baño la niña grita y llora constantemente que las agresiones se dan mas del padrastro hacia la niña la recurrente describe a la madre como retraída y callada en total estado de sumisión. Relata que los vecinos no denuncian por temor al padrastro que se acercan a la madre pidiendo que traten mejor a la niña. La pareja vive en el lugar desde hace 3 años aproximadamente y que en todo ese tiempo la niña Melani siempre fue maltratada. La pareja tiene otro niño de menos de un año.  La recurrente solicita confidencialidad pero autoriza a proveer su numero de teléfono para ubicar mejor el domicilio dado que las calles no tienen nombre refiere que vive a dos cuadras del domicilio de la niña.   
",1,1,1,0,0
" OBSERVACIóN: SE PUEDE PASAR SU NúMERO FUERA DE LA NOTA; 0981000000. A través de la Línea 147 Fono Ayuda se reportó de manera confidencial la siguiente situación;   Que en el AYOLAS Y OLIVA en casa de LA Sra. SUJETO reside la familia compuesta por Sra. SUJETO y Sr. SUJETO que la pareja tiene una hija en común la NNA de 1 año de edad y Sra. SUJETO tiene 5 hijos (que no serían hijos de don SUJETO); NNA (15) NNA (14) NN (8) NN (6) y NN (4).  Que el hombre maltrataría a la mujer de manera física y psicológica que el mismo consumiría con frecuencia bebidas alcohólicas que no tendría empleo que maltrataría de manera verbal a los NNA indicó la persona recurrente.   Que la madre sería quien procure ingresos económicos para el hogar y que la misma también le gritaría mucho a sus hijos; ""es una pelea todos los días le hacen gritar mucho a la mamá porque hay muchos problemas de conducta"" explicó la persona recurrente.   Que las adolescentes NNA y NNA tendrían una relación sentimental con dos hombres que se presume serían mayores de edad.  Que la adolescente NNA saldría con frecuencia de la casa en compañía del muchacho con quien tendría una relación sentimental que se ausentaría durante dos o tres días luego volvería a la casa y al cabo de unos días se iría nuevamente con el mencionado muchacho.  Que aparentemente la madre naturalizaría dicha situación de que la hija adolescente vaya a pasar varios días fuera de la casa.    
",1,0,0,0,0
" La recurrente solicita orientación sobre el caso de sus sobrinas relata que las niñas viven con sus padres la Sra SUJETO guardia de seguridad de la carcel de Buen Pastor y que la misma salió esta mañana y hasta ahora no tienen datos de su paradero que siempre sale sin decir a donde va que trabaja dos dias y luego al llegar a la casa duerme todo el dia y a la tarde sale con una nueva pareja del sexo femenino quien también es guardia de seguridad que aunque los padres vivan juntos en la misma casa están separados la niña mas grande NNA (12) hoy se entera que su madre tiene una pareja mujer y está un poco afectada refiere que el padre se controla para no agredir a su  esposa que parece que la Sra SUJETO le incidenta por si reacciona y luego denunciarlo por violencia domestica refiere que las niñas dijeron que desean vivir solo con el padre se le orienta que el padre acuda a la defensoría a solicitar el regimen de convivencia y que traten de definir la situación con la esposa de la forma mas pacifica posible que a primera hora de la mañana  comunique a la comisaria si la madre no retorna al hogar y solicitar búsqueda y localización. Se le explica que en la defensoría NNA puede solicitar una evaluación psicológica para las niñas Refiere que hablara con su hno sobre las orientaciones recibidas en cuanto a las niñas refiere que estan bien cuidadas por el padre y por la abuela  que el nomas luego esta mas pendientes de sus hijas que la madre esta prácticamente ausente.  
",0,1,0,0,0
" OBSERVACIóN; SE PUEDE PASAR SU NúMERO FUERA DE LA NOTA: 0975000000. A través de la Línea 147 Fono Ayuda se reportó de manera confidencial la siguiente situación;   Que la NNA (11) quien reside con su madre; Sra. SUJETO su padrastro; Sr SUJETO y su hermanita; NNA (2) en el AYOLAS Y OLIVA en casa de Sra. SUJETO (madre del padrastro).  Que la vivienda sería de material con dos piezas que en una pieza dormirían la dueña de casa su pareja más sus hijos hombres adultos. Que en la otra pieza dormirían las dos niñas más su madre y su padrastro que la madre estaría embarazada con una gestación casi a término.   Que la niña habría manifestado a personas vecinas que uno de los hermanos de su padrastro estaría abusando sexualmente de ella de manera sistemática.  Que con frecuencia la niña indicaría que ""ya no quiere vivir en esa casa que por favor le ayuden porque ahí le tocan todo"".  Que la niña no indicó quien de los cinco hermanos del padrastro sería el que abusa de ella.  Que la niña manifestó también que su madre le golpearía por contar lo que ella está sufriendo en esa casa.   Que la niña manifestaría también que habría con frecuencia situaciones de violencia entre el padrastro y la madre; ""dice que se pegan"" expresó la persona recurrente.   Que preocuparía a las personas vecinas el hecho de que la madre daría a luz en cualquier momento y que la niña quedaría con alguno de los hombres en la casa mientras la madre esté hospitalizada.   Que todos los hombres que residen en la casa consumirían frecuentemente bebidas alcohólicas y habría pleitos y agresiones entre ellos.   Que hace aproximadamente un mes atrás habría intervenido la CODENI de Escobar debido a que se habría denunciado situación de maltrato contra la niña.       
",0,1,0,1,0
" La recurrente refiere que llama desde AYOLAS Y OLIVA relata que tiene bajo su cuidado a la adolescente NNA (15) quien fue victima de Abuso sexual el caso está judicializado los agresores fueron tres personas entre ellas el Tio de nombre SUJETO policía de grupo LINCE  desconoce el dato de los demás agresores refiere que la causa esta abierta y en proceso de investigacion en la Ciudad de AYOLAS Y OLIVA no recuerda bien pero la jueza se llamaría Abg Susana Gonzalez Yambay2 posteriormente se tuvo conocimiento que tambien había otra causa por abuso sexual en la ciudad de Capiatá  el jueves se cerro la carpeta de ASI en Capiatá supuestamente dieron dinero los agresores (5 millones ) para que termine esto  la madre del agresor (un joven) le habría dicho que se llegó  a un acuerdo para que el caso de Capiatá se cierre refiere que la asistente fiscal de la causa abierta en San Lorenzo quedó indignada porque nadie fue imputado en la Fiscalia de Capiata en la denuncia presentada en la fiscalia de Capiata se relata que la adolescente fue llevada bajo engaño a una casa y bajo amenaza abusaron de ella refiere que los agresores no acuden a las audiencias la tia Graciela Valiente tampoco ellos no tenían que cambiar de domicilio ahora mismo lo están haciendo y se llevan los documentos de la niña que desde hace mucho la jueza les había pedido  la Asistente fiscal iba acudir mañana para retirar las pertenencias de la adolescente mas sus documentos el jueves así lo acordaron sin embargo ahora se están mudando teme que no les encuentren mas y los documentos no puedan recuperar se le explico que debe denunciar a la comisaria retirar la copia y acudir a la fiscalia mañana a primera hora se le pregunta si tiene el numero de la asistente fiscal que acudiría a retirar las pertenencias de la adolescente refiere que si pero en el otro teléfono suyo que no tiene batería se le oriento que intente comunicarse con la asistente fiscal de lo contrario que acuda a la comisaria a denunciar.  Como no se encontraba la ficha madre (refirió que el caso lo informo en mayo del año pasado) se le pregunto si llamo del mismo numero refiere que no que en esa ocasión llamó del telef 0992-503.010   La recurrente tiene varias fichas porque llama por diferentes casos.         
",1,0,1,1,0
" El recurrente indica que está muy preocupado por dos
NNA   de aproximadamente 5 y 3 años de
edad.   Que los NNA hace 3 meses aproximadamente están viviendo en
la casa de la abuela materna de nombre SUJETO.    Que la madre de los NNA también vivía allí que trabajaba
como vendedora ambulante en ómnibus de corta distancia. Pero que hace un mes
aproximadamente ya no se le visualiza en el barrio y que los vecinos comentan
que la misma estaría hospitalizada.     Que la abuela Sra. SUJETO se ensaña con la NNA de 5 años de
nombre NNA que no le puede ver que le pega le estira del cabello le grita
le pega con lo que encuentra.    







  Que la niña llora desconsoladamente  sin consuelo todos los días     
",1,0,0,0,0
"  OBSERVACIóN; SE PUEDE PASAR SU NúMERO DE TELéFONO FUERA DE LA NOTA; 0991000000 PORQUE NO HAY NOMBRE DE CALLES Y SE NECESITA QUE GUíE COMO LLEGAR A LA CASA.   A través de la Línea 147 Fono Ayuda se reportó de manera confidencial la siguiente situación;   Que SUJETO de 25 años sería una persona adicta al consumo de bebidas alcohólicas y tendría el hábito de ""perseguir"" a sus primas; la NNA de 13 años y la adolescente NNA de 14 años.  Que todos residen en el Dpto. de Guairá Distrito de ñumí en distintas casas que en el mismo distrito habrían ocurrido los hechos de abuso sexual incluso de manera sistemática y con conocimiento de los padres de la niña y de la adolescente.  Que el último hecho de abuso sexual en contra de la NNA de 13 años habría ocurrido hace aproximadamente un mes en el Distrito de ñumí Barrio Arroyito cuando la NNA salía de su lugar de trabajo; que la NNA trabajaría en una casa de familia cuidando niños actividad que haría desde que la misma tenía 8 años de edad que la NNA saldría de su trabajo ya en horas de la noche y que el camino su primo SUJETO le habría arrastrado hasta un predio baldío donde habría abusado sexualmente de ella este hecho habría sido presenciado por el hermano adolescente de la NNA; NNA de 17 años quien habría contado lo sucedido a sus padres; SUJETO y SUJETO y que los mismos harían caso omiso a la situación lo cual se agravaría con el hacho de que el abuso por parte del mencionado primo se daría de manera sistemática según indicó la persona recurrente.   Que el último hecho de abuso sexual en contra de la NNA de 14 años por parte de su primo SUJETO se habría dado hace aproximadamente 3 meses atrás en casa del ""TíO SUJETO"" en el Barrio Caacupé de la ciudad de ñumí dos cuadras antes del cementerio dónde SUJETO llevaría a la NNA la alcoholizaría y abusaría sexualmente de ella hacho que habría ocurrido en más de una ocasión según explicó la persona recurrente.   Que la NNA reside con su madre SUJETO y su padrastro SUJETO en el distrito de ñumí zona Santa Elena camino a Mbariguí que la NNA suele frecuentar la casa del ""TíO SUJETO"" huyendo de su padrastro quien tendría la intención de ""venderla"" a un hombre por la suma de un millón de guaraníes según refirió la persona que se comunicó. Que a su vez la madre de NNA estaría al tanto de los mencionados hechos.   Que el NNA (hermano de la NNA hijo de SUJETO y SUJETO) realizaría trabajo peligroso pues cumpliría tareas en una fábrica de cerámica.   Que la CODENI del Distrito de ñumí habría intervenido en las veces que se denunció los abusos sexuales cometidos por SUJETO pero que nunca se tomaron medidas al respecto.  Que en cuanto a la dirección de los domicilios de la NNA como así también el domicilio de SUJETO no habría nombre de calles por lo que la persona recurrente indicó que se le puede llamar y va a guiar pero pidió confidencialidad también agregó que la persona referente de CODENI; SUJETO tendría registros del caso y conoce la dirección así como personal policial de la Comisaría 18 de ñumí quienes habrían acompañado a la CODENI en sus intervenciones.         
",0,1,0,1,0
